,EventTemplate,Occurrences
58,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>",10
59,Reduce slow start threshold not met. completedMapsForReduceSlowstart {code},130
60,Got allocated containers {count},10
61,Assigned container {container} to {attempt},10
62,After Scheduling: PendingReds:{int} ScheduledMaps:{int} ScheduledReds:{int} AssignedMaps:{int} AssignedReds:{int} CompletedMaps:{int} CompletedReds:{int} ContAlloc:{int} ContRel:{int} HostLocal:{int} RackLocal:{int},12
63,The job-jar file on the remote FS is {path},1
64,The job-conf file on the remote FS is {path},1
65,Adding #{num1} tokens and #{num2} secret keys for NM use for launching container,1
66,Size of {container} is {count},1
67,Putting shuffle token in {data},1
68,{attempt} TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
69,Processing the event EventType: {EventType} for container {container} taskAttempt {taskAttempt},13
70,Launching {attempt},10
71,Opening proxy : {address},1
72,{message} for {attempt} : {port},7
73,TaskAttempt: [{attempt}] using containerId: [{container} on NM: [{server}:{port}],9
74,{attempt} TaskAttempt Transitioned from ASSIGNED to RUNNING,10
75,{code} task_{task},4
76,{task} Task Transitioned from SCHEDULED to RUNNING,10
77,"getResources() for {application}: ask={ask} release={release} newContainers={newContainers} finishedContainers={finishedContainers} resourcelimit=<memory:{memory}, vCores:{cores}> knownNMs={knownNMs}",1
78,Opening proxy : {server}:{port},12
79,TaskAttempt: [{attempt}] using containerId: [{container} on NM: [{NM}:{port}],1
80,{ATTEMPT_START} task_{task}_m_{m},5
81,Auth successful for {job} (auth:{auth}),10
82,JVM with ID : {jvm} asked for a task,10
83,JVM with ID: {ID} given task: {task},4
84,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",121
85,JVM with ID: {jvmID} given task: {task},6
86,Progress of TaskAttempt {task} is : {progress},289
87,Shuffle port returned by ContainerManager for {attempt} : {port},2
88,{ATTEMPT_START} task_{task}_m_{m_id},1
89,getResources() for {application}: ask={ask} release={release} newContainers={newContainers} finishedContainers={finishedContainers} resourcelimit={limit} knownNMs={knownNMs},3
90,{message} : {port},1
91,"Cannot assign container Container: [ContainerId: {containerId}, NodeId: {nodeId}, NodeHttpAddress: {nodeHttpAddress}, Resource: {resource}, Priority: {priority}, Token: Token { kind: ContainerToken, service: {service} }, ] for a map as either  container memory less than required {memory} or no pending map tasks - maps.isEmpty={bool}",1
92,Received completed container {container},2
93,Container complete event for unknown container id {container_id},1
94,Done acknowledgement from {attempt},1
95,{attempt} TaskAttempt Transitioned from {fromState} to {toState},1
96,KILLING {attempt},3
97,{attempt} TaskAttempt Transitioned from {from} to {to},7
98,Task succeeded with attempt {attempt},1
99,{task} Task Transitioned from {from} to {to},1
100,Num completed Tasks: {count},1
101,Reduce slow start threshold reached. Scheduling reduces.,1
102,All maps assigned. Ramping up all remaining reduces:{int},1
103,DefaultSpeculator.addSpeculativeAttempt -- we are speculating {task},1
104,We launched {count} speculations. Sleeping {time} milliseconds.,1
105,Scheduling a redundant attempt for task {task},1
106,Diagnostics report from {attempt}: {message},1
107,Address change detected. Old: {oldAddress} New: {newAddress},476
108,Failed to renew lease for [{task}] for {seconds} seconds. Will retry shortly ...,326
109,"Slow ReadProcessor read fields took {time}ms (threshold={threshold}ms); ack: seqno: {seqno} status: {status} status: {status} downstreamAckTimeNanos: {downstreamAckTimeNanos}, targets: [{targets}]",1
110,DFSOutputStream ResponseProcessor exception  for block {block},1
111,Error Recovery for block {block} in pipeline {pipeline}: bad datanode {datanode},1
112,DataStreamer Exception,1
113,ERROR IN CONTACTING RM.,147
114,"Retrying connect to server: {server}. Already tried {count} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={count}, sleepTime={count} MILLISECONDS)",146
115,Task: {attempt} - exited : java.net.NoRouteToHostException: No Route to Host from  {source}/{ip} to {server}:{port} failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,2
116,Diagnostics report from {attempt}: Error: {error}: {details}; For more details see: {link},1
117,Diagnostics report from {attempt}: Error: {error}; For more details see: {link},3
118,Task cleanup failed for attempt {attempt},2
119,Error writing History Event: {event},1
120,"Thread Thread[{threadName},{threadPriority},{threadGroup}] threw an Exception.",1
121,{count} failures on node {node},2
122,Added {attempt} to list of failed maps,2
