,EventTemplate,Occurrences
124,rts tree/torus link training failed: wanted: {wanted} got: {got},1
125,1 tree receiver {count} in re-synch state event(s) (dcr {dcr}) detected,1
126,"ciod: Error loading {path}: invalid or missing program image, Exec format error",17
127,ciod: LOGIN chdir(pwd) failed: No such file or directory,2
128,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to {ip}:{port}: Link has been severed,9
129,rts: kernel terminated for reason {reason},6
130,ciod: generated {count} core files for program {program},20
131,ciod: generated {count} core files for program {program_path},8
132,iar {iar_value} dear {dear_value},208
133,2201500 double-hummer alignment exceptions,2
134,1547520 double-hummer alignment exceptions,1
135,773760 double-hummer alignment exceptions,1
136,1524480 double-hummer alignment exceptions,3
137,156055738 double-hummer alignment exceptions,1
138,147337410 double-hummer alignment exceptions,1
139,139632470 double-hummer alignment exceptions,1
140,155918940 double-hummer alignment exceptions,1
141,28298332 double-hummer alignment exceptions,1
142,23768676 double-hummer alignment exceptions,1
143,34253552 double-hummer alignment exceptions,1
144,35418742 double-hummer alignment exceptions,1
145,47332148 double-hummer alignment exceptions,1
146,39190074 double-hummer alignment exceptions,1
147,30646810 double-hummer alignment exceptions,1
148,36833864 double-hummer alignment exceptions,1
149,24669022 double-hummer alignment exceptions,1
150,38029258 double-hummer alignment exceptions,1
151,39309752 double-hummer alignment exceptions,1
152,27901852 double-hummer alignment exceptions,1
153,41097026 double-hummer alignment exceptions,1
154,54600944 double-hummer alignment exceptions,1
155,32888202 double-hummer alignment exceptions,1
156,"NFS Mount failed on {server}, slept {sleep_time} seconds, retrying ({retry_count})",2
157,"3 ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",1
158,Lustre mount FAILED : {node} : point {mount_point},6
159,"4 ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",3
160,ciod: LOGIN chdir({path}) failed: {error},1
161,Lustre mount FAILED : {server} : point {mount_point},3
162,"Node card VPD check: U11 node in processor card slot J18 do not match. VPD ecid {ecid}, found {found}",1
163,1 torus receiver x+ input pipe error(s) (dcr {dcr}) detected and corrected,1
164,ciod: pollControlDescriptors: Detected the debugger died.,3
165,"ciod: In packet from node {node} ({location}), message code {code} is not {expected_code} or {other_expected_code} (softheader={header})",1
166,1 torus receiver y+ input pipe error(s) (dcr {dcr_value}) detected and corrected,1
167,suppressing further interrupts of same type,2
168,"Node card VPD check: U01 node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",2
169,"Node card VPD check: U{unit} node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",1
170,rts: bad message header: expecting type {expected_type} instead of type {actual_type} (softheader={softheader}) PSR0={psr0} PSR1={psr1} PRXF={prxf} PIXF={pixf},1
171,ciod: generated {count} core files for program {path},2
172,critical input interrupt (unit={unit} bit={bit}): warning for torus {direction} wire,1
173,"ciod: Error loading {path}: invalid or missing program image, Permission denied",19
174,4 tree receiver 2 in re-synch state event(s) (dcr {dcr}) detected,1
175,data cache search parity error detected. attempting to correct,6
176,shutdown complete,1
177,"ciod: Error loading {program}: invalid or missing program image, No such file or directory",1
178,critical input interrupt (unit={unit} bit={bit}): warning for torus z- wire,1
179,16 tree receiver 2 in re-synch state event(s) (dcr {dcr}) detected,1
180,"Error receiving packet on tree network, expecting type {expected_type} instead of type {received_type} (softheader={softheader}) PSR0={psr0} PSR1={psr1} PRXF={prxf} PIXF={pixf}",5
181,640404 floating point alignment exceptions,2
182,\,3
183,428412 floating point alignment exceptions,1
184,441348 floating point alignment exceptions,1
185,"2 ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",2
186,5302707 floating point alignment exceptions,1
187,5 torus receiver z+ input pipe error(s) (dcr {dcr}) detected and corrected,1
188,3 L3 EDRAM error(s) (dcr {dcr_value}) detected and corrected,1
189,"critical input interrupt (unit={unit} bit={bit}): warning for torus z+ wire, suppressing further interrupts of same type",2
190,"Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid {ecid}, found {found}",1
191,18507114 torus sender z- retransmission error(s) (dcr {dcr}) detected and corrected over {second} seconds,1
192,26741629 torus sender z- retransmission error(s) (dcr {dcr}) detected and corrected over {second} seconds,1
193,"ciod: Received signal {signal}, code={code}, errno={errno}, address={address}",16
194,Lustre mount FAILED : {server} : block_id : {location},1
195,MACHINE CHECK DCR read timeout (mc={mc} iar {iar_value} lr {lr_value}),7
196,"ciod: Error reading message prefix on CioStream socket to {ip}:{port}, Connection timed out",2
197,"ciod: Error reading message prefix on CioStream socket to {ip}:{port}, Connection reset by peer",4
198,dbcr0={dbcr0_value} dbsr={dbsr_value} ccr0={ccr0_value},1
199,"ciod: Error reading message prefix on CioStream socket to {ip}:{port}, Link has been severed",8
200,r24={value1} r25={value2} r26={value3} r27={value4},1
201,13 tree receiver {receiver} in re-synch state event(s) (dcr {dcr}) detected over {seconds} seconds,1
202,0 microseconds spent in the rbs signal handler during 0 calls. {time} microseconds was the maximum time for a single instance of a correctable ddr.,30
203,"10722 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",7
204,"10740 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",3
205,"10744 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",3
206,"10700 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
207,"10732 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
208,0 microseconds spent in the rbs signal handler during {calls} calls. {time} microseconds was the maximum time for a single instance of a correctable ddr.,21
209,"10655 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
210,"10650 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
211,"10686 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
212,"10674 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
213,"10730 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
214,"10692 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
215,"10660 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
216,"10752 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",3
217,"10676 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",4
218,"10728 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
219,"10712 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
220,"10718 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
221,"10644 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
222,"10738 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",3
223,"10646 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
224,"10710 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
225,"10706 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
226,"10765 total interrupts. {critical_count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
227,"10698 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",3
228,"10684 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",3
229,"10652 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
230,"1966 total interrupts. {critical_count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
231,"10714 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
232,"10666 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
233,"10663 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
234,"10766 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
235,"10680 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
236,"10616 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
237,"10754 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
238,"10668 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
239,"10708 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
240,"10640 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
241,"10636 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
242,"10664 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
243,"10736 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",1
244,"720 total interrupts. {count} critical input interrupts. {total_time} microseconds total spent on critical input interrupts, {max_time} microseconds max time in a critical input interrupt.",2
245,"1 ddr error(s) detected and corrected on rank {rank}, symbol {symbol} over {second} seconds",2
246,"PrepareForService shutting down Node card(mLctn({location}), mCardSernum({serial}), mLp({lp}), mIp({ip}), mType({type})) as part of Service Action {action}",1
247,"Kernel detected {exception_count} integer alignment exceptions ({last_exception_count}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value}",1
248,1 tree receiver {count} in re-synch state event(s) (dcr {dcr}) detected over {second} seconds,1
249,"159 ddr error(s) detected and corrected on rank {rank}, symbol {symbol} over {second} seconds",1
250,total of {count} ddr error(s) detected and corrected over {second} seconds,4
251,minus normalized number..................{number},1
252,Lustre mount FAILED : {node} : block_id : {location},1
253,fraction rounded.........................{value},1
254,"critical input interrupt (unit={unit} bit={bit}): warning for tree {tree} wire, suppressing further interrupts of same type",1
255,size of scratchpad portion of L3.........{size} ({unit}),1
256,"Kernel detected {exception_count} integer alignment exceptions ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_count})",3
257,"Kernel detected {exception_count} integer alignment exceptions ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_count}) iar {iar_value}, dear {dear_value}",3
258,"Kernel detected {exception_count} integer alignment exceptions ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_count})",1
259,"Kernel detected {exception_count} integer alignment exceptions ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value} ({exception_number}) iar {iar_value}, dear {dear_value}",1
260,"28 ddr error(s) detected and corrected on rank {rank}, symbol {symbol} over {second} seconds",1
261,"{count} ddr error(s) detected and corrected on rank {rank}, symbol {symbol} over {second} seconds",2
262,"2 ddr error(s) detected and corrected on rank {rank}, symbol {symbol} over {second} seconds",1
263,2 L3 EDRAM error(s) (dcr {dcr}) detected and corrected over {second} seconds,1
264,"ciod: Error loading {path}: program image too big, {size} > {limit}",1
265,fpr29={value} {value} {value} {value},1
266,Machine State Register: {register},1
