,EventTemplate,Occurrences
70,Extract <*> to <*>,1
71,Started <*>,1
72,Web app <*> started at <*>,1
73,Registered webapp guice modules,1
74,JOB_CREATE <*>,1
75,nodeBlacklistingEnabled:<*>,1
76,maxTaskFailuresPerNode is <*>,1
77,blacklistDisablePercent is <*>,1
78,Connecting to ResourceManager at <*>,1
79,"maxContainerCapability: <memory:<*>, vCores:<*>",1
80,queue: <*>,1
81,Upper limit on the thread pool size is <*>,1
82,yarn.client.max-cached-nodemanagers-proxies : <*>,1
83,<*> Transitioned from INITED to SETUP,1
84,<*> Transitioned from SETUP to RUNNING,1
85,"mapResourceRequest:<memory:<*>, vCores:<*>",1
86,"Event Writer setup for JobId: <*>, File: <*>",1
87,"reduceResourceRequest:<memory:<*>, vCores:<*>",1
88,The job-jar file on the remote FS is <*>,1
89,The job-conf file on the remote FS is <*>,1
90,Adding #<*> tokens and #<*> secret keys for NM use for launching container,1
91,Size of <*> is <*>,1
92,Putting shuffle token in <*>,1
93,<*> : <*>,1
94,"Cannot assign container Container: [ContainerId: <*>, NodeId: <*>, NodeHttpAddress: <*>, Resource: <*>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*> }, ] for a map as either container memory less than required <*> or no pending map tasks - maps.isEmpty=<*>",1
95,Container complete event for unknown container id <*>,1
96,Done acknowledgement from <*>,1
97,Task succeeded with attempt <*>,1
98,<*> Task Transitioned from <*> to <*>,1
99,Num completed Tasks: <*>,1
100,Reduce slow start threshold reached. Scheduling reduces.,1
101,All maps assigned. Ramping up all remaining reduces:<*>,1
102,DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>,1
103,We launched <*> speculations. Sleeping <*> milliseconds.,1
104,Scheduling a redundant attempt for task <*>,1
105,Diagnostics report from <*>: <*>,1
106,"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: <*> status: <*> status: <*> downstreamAckTimeNanos: <*>, targets: [<*>]",1
107,DFSOutputStream ResponseProcessor exception for block <*>,1
108,Error Recovery for block <*> in pipeline <*>: bad datanode <*>,1
109,DataStreamer Exception,1
110,Diagnostics report from <*>: Error: <*>: <*>; For more details see: <*>,1
111,Error writing History Event: <*>,1
112,"Thread Thread[<*>,<*>,<*>] threw an Exception.",1
