,EventTemplate,Occurrences
89,"cancelNotificationLocked called,tell the app,reason = <*>",2
90,cancelNotificationLocked:<*>|<*>|<*>|<*>|<*>,2
91,"cancelNotificationLocked,remove =<*>",2
92,applyOptionsLocked: Unknown animationType=<*>,2
93,removeNotification:<*>|<*>|<*>|<*>|<*>,2
94,setWiredDeviceConnectionState type: <*> state: <*>,2
95,getDevicesForStream streamType: <*>,2
96,enqueueNotificationInternal: pkg=<*> id=<*> notification=<*>,2
97,enqueueNotificationInternal: n.getKey = <*>|<*>|<*>|<*>|<*>,2
98,addNotification key=<*>|<*>|<*>|<*>|<*>,2
99,Marking notification as seen <*>|<*>|<*>|<*>|<*>,2
100,onNotificationExpansionChanged called,2
101,START u0 {act=<*> cat=<*> flg=<*> cmp=<*> bnds=<*>} from uid <*> on display <*>,2
102,"ACTIVITY check resid: <*>, size=<*>",2
103,Destroying surface Surface(name=<*>) called by <*>,2
104,RefreshBatteryInfo isBatteryLow: <*>,2
105,getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.ui.LauncherUI},2
106,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",1
107,visible is system.time.showampm,1
108,visible is system.charge.show,1
109,visible is system.call.count gt <*>,1
110,visible is system.message.count gt <*>,1
111,visible is system.ownerinfo.show,1
112,Destroying surface Surface(name=<*>) called by <*> <*> <*> <*> <*>,1
113,Destroying surface Surface(name=<*>) called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> android.view.IWindowS,1
114,"orientation change is complete, call stopFreezingDisplayLocked",1
115,Screen frozen for +<*> due to <*>,1
116,startAnimation begin,1
117,startAnimation end,1
118,Bad activity token: <*>,1
119,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
120,schedulePeek,1
121,onTrackingStarted,1
122,onTrackingStopped: <*>,1
123,isSimPinSecure mSimDatas is <*> or empty,1
124,*** register callback for <*>,1
125,getDataEnabled: subId=<*> phoneId=<*>,1
126,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=<*>,1
127,START u0 {act=<*> flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1
128,"Start dump, calling from : pid=<*>, uid=<*>",1
129,isBluetoothA2dpOn...,1
130,isBluetoothScoOn...,1
131,getMode...,1
132,setSpeakerphoneOn on: <*>,1
133,setSpeakerphoneOn on:<*>,1
134,"sending alarm Alarm{ <*> type <*> when <*> PendingIntent{ <*>: PendingIntentRecord{ <*> <*>}}},repeatInterval = <*>,listenerTag =<*>",1
135,Killing <*>/<*> (adj <*>): empty for <*>,1
136,"sending alarm Alarm{c1705d3 type <*> when <*> PendingIntent{<*>: <*>}},repeatInterval = <*>,listenerTag =<*>",1
137,Unable to start service Intent { act=<*> cmp=<*> } U=<*>: not found,1
138,unregisterAudioFocusListener...,1
139,abandonAudioFocus,1
140,"[HSM] stayAwake <*> uid: <*>, pid: <*>",1
141,Pid:<*> MediaPlayer destructor,1
142,Process <*> (pid <*>) has died,1
143,Scheduling restart of crashed service <*> in <*>,1
144,"new Process app=ProcessRecord{$<*> $<*>/$<*>}, name: $<*>, euid: $<*>",1
145,Start proc <*> for service <*>,1
146,"ActivityRecord info: <*>, euid: <*>",1
147,Destroying surface Surface(name=<*>) called by <*> <*> <*> <*> <*> <*> <*>,1
148,getCellLocation is blocked by permission manager uid:<*> pid:<*>,1
149,isWiredHeadsetOn...,1
150,"setDataSource(<*>, <*>, <*>)",1
151,getStreamVolume treamType: <*>,1
152,Destroying surface Surface(name=InputMethod) called by <*> <*> <*> <*> <*> <*> <*>,1
153,"updateIsPoweredLocked: wasPowered=<*>, mIsPowered=<*>, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",1
154,received broadcast android.intent.action.BATTERY_CHANGED,1
155,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1
156,updateChargingLocked: charging=<*>,1
157,"onReceive, action:<*>",1
158,ACTION_BATTERY_CHANGED pluggedType: <*>,1
159,ApStaDisabledState what=<*>,1
160,DefaultState what=<*>,1
161,battery changed pluggedType: <*>,1
162,ChargingSpeed Wattage: -<*> ST: <*> --> <*>,1
163,handleBatteryUpdate,1
164,START u0 {flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1
165,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=<*> cmp=<*> (has extras) },1
